AGUERRI	ENTRAÎNÉ
AGUERRIR	ENTRAÎNER À LA BATAILLE
AGUERRIS	ENTRAÎNÉS AU COMBAT
AH	CRI DE PLAISIR	EST DOUBLÉ POUR RIRE	MARQUE DE SURPRISE	PEUT EXPRIMER L'ADMIRATION
AHAN	CRI D'EFFORT	SOUFFLE BRUYANT	EXPRESSION DE CELUI QUI FORCE
AHANE	RESPIRE FORT
AHANER	SOUFFLER LORS DE L'EFFORT
AHURI	HÉBÉTÉ
AI	DISPOSE DE	DÉTIENS	POSSÈDE	BÊTE QUI PARESSE	BRADYPE DU BRÉSIL	IL DORT SOUVENT AU BRÉSIL	BRADYPE	BRADYPE BRÉSILIEN	BÊTE ET PARESSEUX À LA FOIS	DÉTIENS PERSONNELLEMENT
AIDAI	ASSISTAI
AIDAS	DONNAS UN COUP DE MAIN
AIDE	ASSISTANCE
AIDEE	ASSISTÉE
AIDES	BRAS DROITS
AIE	LE CRI DE QUI A MAL	IL EXPRIME LE MAL	CRI DE CELUI QUI ENCAISSE	ÇA SORT APRÈS COUP	INTERJECTION DOULOUREUSE	IL ARRIVE APRÈS COUP	CRI DE SOUFFRANCE	CRI DE GAUCHE
AIEUL	ANCÊTRE
AIEULE	ANCÊTRE
AIEULES	GRANDS-MÈRES
AIEUX	ANCÊTRES
AIGLEFINS	CABILLAUDS
AIGLON	JEUNE RAPACE
AIGRE	D'UNE ACIDITÉ DÉSAGRÉABLE AU GOÛT
AIGRES	PIQUANTS ET DÉSAGRÉABLES
AIGRI	DEVENU AMER
AIGRIT	DEVIENT AMER (S')
AIGU	ACÉR  COUPANT ET POINTU	HAUT DANS L'ÉCHELLE DES SONS	DONC PAS GRAVE
AIGUISAGE	AFFÛTAGE DE LAME
AIGUISE	RENDU COUPANT
AIGUISEE	AFFILÉE
AIL	SA POINTE A DU GOÛT	IL PEUT SE METTRE EN CHEMISE	BONNE TÊTE POUR LA CUISINE	CONDIMENT
AILE	FLANC	AVOIR UN COUP DEDANS EST À ÉVITER
AILEE	POURVUE DE QUOI VOLER
AILERON	PARTIE DE REQUIN
AILIER	IL JOUE AU FOOT SUR LE CÔTÉ
AILLAI	FROTTAI AVEC UNE GOUSSE
AILLER	PARFUMER UN GIGOT
AILS	PLANTES AROMATIQUES	CONDIMENTS
AIMA	APPRÉCIA
AIMANTE	ATTIRÉ EN PLEIN CHAMP
AIMANTER	MAGNÉTISER
AIME	CHÉRI
AIMEE	ADORÉE
AIMEES	ADORÉES
AIMER	AVOIR DANS LA PEAU
AIN	DÉPARTEMENT	DÉPARTEMENT EN TÊTE	RIVIÈRE DU JURA	AFFLUENT DU RHÔNE	DÉPARTEMENT NUMÉRO UN	IL A SON LIT DANS LE JURA
AINE	PLI EN HAUT DE LA CUISSE	SES FRÈRES ET SŒURS LE SUIVENT	LE PREMIER ARRIVÉ	VIEUX FRÈRE
AINEES	LES PREMIÈRES VENUES
AINESSE	DROIT DU PLUS VIEUX (D')
AINSI	DE CETTE FAÇON
AIOLIS	PLATS DE PROVENCE
AIR	IL A PARFOIS UN MAUVAIS COURANT	ASPECT GÉNÉRAL	C'EST DU VENT	GAZ COMPRESSIBLE	MÉLODIE	APPARENCE	GUILLERET POUR CELUI QUI EST CONTENT	LE FAUX N'EST GUÈRE RESSEMBLANT	MANIÈRE D'ÊTRE	MÉLANGE GAZEUX	IL REMPLIT LES POUMONS	IL PASSE EN COURANT	CHANSON
AIRA	FIT SON NID
AIRAIN	BRONZE POUR LE POÈTE
AIRE	SURFACE	ABRI DE RAPACE	HALTE SUR L'AUTOROUTE
AIREDALE	CHIEN ANGLAIS
AIRELLES	BAIES ROUGES
AIRER	BÂTIR UN NID D'AIGLE
AIRES	BASES DE RAPACES
AIS	PETITE PLANCHE DE RELIEUR	ILS SONT PARESSEUX DE PÈRE EN FILS	PARESSEUX BRÉSILIENS	PARESSEUX
AISANCE	VIE FACILE
AISANCES	FACILITÉS
AISE	À L'ABRI DU BESOIN	ASSEZ RICHE	FACILE OU ASSEZ RICHE	ASSEZ SIMPLE
AISEE	QUI NE PRÉSENTE AUCUNE DIFFICULTÉ
AISEMENT	FACILEMENT
AISSELLE	CREUX SOUS LE BRAS
AIX	ÎLE VERS OLÉRON (D')
AJACCIENS	MÉDITERRANÉENS
AJOURNER	RETARDER UN DÉPART
AL	MORCEAU D'ALU	DISTANCE DANS L'ESPACE	C'EST L'ALU	CAPONE INTIME	MÉTAL LÉGER	PRÉCÉDA CAPONE	ALUMINIUM SYMBOLIQUE	CAPONE POUR SES HOMMES	ANNÉE-LUMIÈRE	ALU ENCORE PLUS PETIT !
